gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
6.5356,3.4921,5.702833,11.82823949,-5.110010969,2,10,2.5,20.1525,1.625,2.375,10.63215,0,2,0.5,4.1525,0.105,1.065,2.98595
6.7511,3.6148,5.805715,11.93987457,-5.076562669,2,10,2.5,20.1525,1.625,2.375,10.63215,0,2,0.5,4.1525,0.105,1.065,2.98595
5.287,2.5302,4.546182,9.095109812,-4.426725704,2,10,2.5,20.1525,1.625,2.375,10.63215,0,2,0.5,4.1525,0.105,1.065,2.98595
8.0577,4.744,6.782576,9.324402592,-5.181994559,2,10,2.5,20.1525,1.625,2.375,10.63215,0,2,0.5,4.1525,0.105,1.065,2.98595
5.5546,3.4797,5.080467,22.51103553,-3.799530399,2,14,3,28.1855,1.765,1.945,9.0031,0,2,0,3.8805,0.035,0.635,1.3569
5.6544,3.492,5.082829,22.53234188,-3.790658634,2,14,3,28.1855,1.765,1.945,9.0031,0,2,0,3.8805,0.035,0.635,1.3569
4.8004,2.8049,4.03283,17.35581752,-3.804671979,2,14,3,28.1855,1.765,1.945,9.0031,0,2,0,3.8805,0.035,0.635,1.3569
4.5849,2.66,4.047276,26.15355417,-3.372799432,2,23,3.5,51.6325,1.815,1.93,8.6993,0,11,0.5,27.3275,0.085,0.62,1.0531
4.6557,2.6609,4.03745,26.15959339,-3.367406574,2,23,3.5,51.6325,1.815,1.93,8.6993,0,11,0.5,27.3275,0.085,0.62,1.0531
3.4099,1.8004,2.785757,20.22490763,-3.350821284,2,23,3.5,51.6325,1.815,1.93,8.6993,0,11,0.5,27.3275,0.085,0.62,1.0531
4.1888,2.5026,3.563303,33.41679617,-2.873720932,2,32,4,75.9525,1.895,1.705,8.3279,0,20,1,51.6475,0.165,0.395,0.6817
4.1618,2.458,3.515137,33.40728358,-2.872323809,2,32,4,75.9525,1.895,1.705,8.3279,0,20,1,51.6475,0.165,0.395,0.6817
1.5737,0.4399,1.13456,25.77806947,-2.804137759,2,32,4,75.9525,1.895,1.705,8.3279,0,20,1,51.6475,0.165,0.395,0.6817
8.1958,4.884,8.1005,26.26572766,-3.13807061,1,14,3,29.2215,2.01,2.045,9.05335,0,3,0,6.2315,0.26,1.115,3.91425
8.6145,4.9847,8.216691,28.80291606,-3.09535939,1,14,3,29.2215,2.01,2.045,9.05335,0,3,0,6.2315,0.26,1.115,3.91425
